Ix,t,l,g.300.40N.5W,g.300.41N.5W,g.300.40N.4W,g.300.41N.4W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.40N.5W,g.500.41N.5W,g.500.40N.4W,g.500.41N.4W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.40N.5W,g.700.41N.5W,g.700.40N.4W,g.700.41N.4W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92191.28,92166.19,92307.766,92228.26,91813.68,93298.62,92628.27,91646.234,56369.94,56360.703,56441.004,56418.79,56356.555,57106.953,56763.94,56210.547,30549.342,30595.293,30623.03,30642.28,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92457.77,92486.31,92481.336,92500.305,91689.34,93210.875,92580.38,91771.336,56544.055,56586.48,56586.48,56608.293,56298.07,57040.04,56758.32,55972.457,30660.184,30689.988,30686.885,30717.725,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92069.24,92070.2,92065.22,92064.836,91542.21,92331.33,92041.66,91700.266,56224.195,56284.42,56220.316,56280.406,56103.08,56641.35,56368.332,56000.562,30459.408,30486.627,30462.408,30495.217,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,92069.82,92022.31,92064.836,92030.734,91657.734,92333.82,91421.32,92260.25,56138.543,56093.31,56137.742,56112.043,56103.21,56604.28,55778.535,56328.453,30326.213,30330.766,30342.46,30354.984,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,91965.79,91878.81,92038.21,91975.18,91884.18,92488.234,90414.19,92157.18,56143.227,56079.12,56192.613,56125.43,56183.11,56465.363,55150.727,56328.72,30344.428,30282.021,30362.746,30321.762,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91611.75,91576.31,91712.336,91690.69,92433.82,92741.31,90450.78,92245.69,56219.38,56180.434,56228.08,56193.15,56436.59,56720.848,55364.59,56576.44,30576.768,30566.213,30576.043,30582.771,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91760.99,91754.86,91868.85,91866.94,92408.914,92505.86,91918.86,92138.41,56303.96,56296.734,56272.645,56279.47,56534.418,56638.14,56269.43,56447.16,30656.354,30662.771,30610.816,30620.545,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92256.23,92345.31,92269.26,92332.86,92404.32,92804.336,92515.24,91589.336,56344.645,56383.188,56289.64,56367.4,56404.47,56749.89,56248.957,56175.348,30527.299,30532.059,30493.354,30520.78,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92540.53,92542.64,92504.13,92477.5,91993,93050.13,92697.625,92458.54,56463.355,56428.56,56457.332,56410.09,56077.516,56981.285,56297.805,56425.883,30536.406,30490.766,30524.814,30504.428,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93627.37,93608.4,93590.77,93561.27,91281.85,94025.28,93459.734,92912.39,57091.695,57012.734,57079.785,56991.992,55681.906,57672.527,56870.473,56787.766,30856.303,30802.797,30858.785,30802.486,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93790.4,93821.82,93759.37,93787.336,93308.766,93809.37,93550.734,93158.76,57440.33,57433.24,57418.516,57399.51,56840.492,57690.46,57255.24,57080.59,31279.586,31228.047,31288.383,31231.049,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93500.54,93533.49,93434.64,93472.57,93123.51,93310.49,92669.086,93755.53,57216.562,57209.6,57170.793,57178.285,56781.742,57279.062,56409.82,57273.04,31082.33,31022.098,31065.875,31017.129,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,92722.53,92511.03,92722.53,92533.445,92208.91,92847.445,91566.35,93435.98,56546.867,56398.58,56561.32,56408.082,56138.008,56750.29,55561.594,57159.55,30525.953,30421.943,30528.23,30457.648,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92748.2,92649.16,92653.18,92574.25,91827.28,93090.75,92290.14,93833.695,56398.445,56290.31,56390.953,56277.195,55929.496,56874.22,55951.715,57155.8,30431.672,30396.174,30448.748,30424.738,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93998.65,93945.01,93884.086,93843.086,92685.56,93439.62,93908.99,94717.65,57407.54,57382.246,57324.297,57309.04,56631.582,57273.977,57339.82,57838.48,31178.992,31174.023,31161.295,31148.771,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94705.39,94679.33,94638.91,94613.81,93543.836,93636.37,94517.445,95061.34,57932.7,57957.457,57889.74,57916.64,57210.94,57276.652,57875.152,58060.508,31593.377,31627.943,31574.645,31607.348,31186.65,31262.2,31665.201,31339.406,-Inf,0
0,1,17,94689.68,94635.65,94696.19,94652.125,94147.125,93413.18,93841.17,94769.18,57937.785,57941.53,57954.246,57958.527,57633.582,57202.11,57504.57,57965.62,31477.672,31513.377,31478.19,31518.861,31418.682,31101.373,31334.645,31333.195,-Inf,0
0,1,18,94438.71,94449.82,94450.77,94461.31,94312.266,93318.34,94335.26,94827.234,57924.938,57912.89,57907.67,57911.152,57884.92,57190.867,57631.977,58191.4,31519.586,31547.426,31512.135,31538.836,31563.674,31121.863,31382.355,31492.16,-Inf,0
0,1,19,94459.97,94492.35,94429.32,94474.914,93421.8,93570.47,94257.47,94888.34,57953.58,57941.13,57922.66,57909.812,57411.156,57371.406,57822.152,58311.043,31629.186,31653.195,31597.205,31632.186,31332.266,31162.02,31506.443,31704.734,-Inf,0
0,1,20,94520.7,94459.2,94461.125,94407.09,93731.2,93779.09,94039.266,95012.68,57991.99,57966.96,57950.23,57926.008,57211.21,57411.29,57591.023,58280.527,31675.86,31647.607,31668.098,31645.123,30969.834,31247.918,31348.1,31658.162,-Inf,0
0,1,21,94422.234,94359.77,94418.78,94373.766,93643.266,94004.4,93272.75,94624.734,57823.895,57799.938,57789.633,57777.855,57150.984,57543.113,56960.676,57996.67,31366.107,31333.61,31366.418,31347.79,30808.074,31159.95,30879.795,31375.215,-Inf,0
0,1,22,94042.14,93856.49,94094.055,93944.625,93831.016,93849.984,90985.48,94436.984,57554.355,57424.805,57609.094,57494.266,57312.52,57531.07,55758.996,57832.86,31172.68,31067.635,31226.184,31162.123,31013.404,31272.86,30256.873,31262.406,-Inf,0
0,1,23,93673.73,93488.28,93702.66,93469.695,93367.2,94265.13,92720.62,94050.76,57346.914,57208.133,57365.652,57223.254,57076.707,57668.65,56529.2,57665.703,31007.4,30914.361,31037.207,30939.924,30983.39,31295.525,30596.432,31227.115,-Inf,0
0,1,24,93315.86,93059.52,93263.94,92978.484,92575.016,94308.43,92912.39,93520.84,56920.523,56712.418,56890.28,56663.164,56375.695,57659.95,56722.99,57491.188,30743.494,30628.72,30717.725,30607.713,30487.246,31259.303,30773.715,31197.31,-Inf,0
0,1,25,93071.016,92740.16,92914.5,92521.56,91303.12,94014.55,93071.59,93994.05,56741.055,56453.85,56625.156,56265.28,55699.04,57438.055,56854.812,57534.15,30584.219,30487.764,30517.363,30428.152,30090.25,31174.127,30846.264,31092.99,-Inf,0
0,1,26,93212.41,93126.38,93194.97,93107.42,91406.38,94156.51,93169.875,93895.38,57001.895,56942.875,56969.105,56884.66,55704.793,57651.652,57223.79,57427.617,30758.088,30771.023,30733.766,30742.977,30108.568,31322.95,31186.857,30942.822,-Inf,0
0,1,27,93165.47,92932.89,93098.99,92861.43,92411.41,94068,93737.52,93860.9,57151.52,57034.684,57109.23,56982.49,56551.418,57698.76,57390.945,57573.227,31034.826,31006.574,31017.44,31001.088,30623.857,31399.535,31310.324,31147.943,-Inf,0
0,1,28,92874.45,92953.58,92902.43,92948.984,92455.086,94098.08,93378.5,93229.07,56981.82,56965.09,56982.625,56946.086,56311.59,57720.31,57141.348,57264.61,31002.537,30962.277,31000.053,30956.482,30460.03,31393.738,30952.24,31061.32,-Inf,0
0,1,29,92829.625,92789.97,92749.55,92752.99,92038.98,93810.13,92477.12,93881.59,56628.37,56598.926,56631.715,56596.918,55817.883,57410.35,56360.168,57234.363,30656.354,30620.545,30664.53,30642.59,29878.607,31097.854,30374.543,30833.844,-Inf,0
0,1,30,92642.836,92383.24,92739.2,92527.31,91967.33,94297.7,91079.164,93577.17,56385.598,56214.023,56480.082,56331.797,55815.605,57693.81,55417.32,57050.344,30277.053,30208.748,30374.232,30305.203,29850.25,31256.922,29785.566,30683.469,-Inf,0
0,1,31,92408.73,92153.734,92588.81,92348.76,91959.28,94724.35,90779.336,93281.375,56222.723,56055.703,56325.91,56168.656,55949.973,57991.85,55395.64,56713.62,30172.629,30108.154,30241.348,30189.395,30163.832,31367.865,29924.145,30478.14,-Inf,0
0,1,32,91792.6,91425.54,91997.02,91610.03,91607.16,94784.125,91380.13,93169.11,55880.918,55730.758,55994.94,55830.73,55763.277,57908.207,55813.734,56570.42,30094.7,30052.682,30147.48,30095.734,29949.396,31189.963,30130.922,30414.182,-Inf,0
0,1,33,91846.82,91840.88,91737.234,91696.24,90818.23,94679.91,92580.766,93353.41,56113.383,56079.12,56067.48,55998.42,55402.867,57670.12,56446.625,56898.176,30372.992,30359.434,30341.219,30326.006,29806.783,31005.021,30550.273,30690.713,-Inf,0
0,1,34,93229.266,93047.266,93172.17,93007.8,91926.33,94232.19,93108.76,93974.7,56971.918,56864.72,56951.707,56833.668,56030.676,57412.625,56627.164,57497.88,30898.01,30855.268,30869.756,30835.086,30250.248,30974.49,30606.781,31117.31,-Inf,0
0,1,35,94346.37,94264.37,94308.81,94219.92,92557.97,94038.88,93656.87,94553.84,57577.508,57517.016,57513.805,57455.32,56256.047,57473.79,57015.812,57811.047,31154.05,31120.312,31125.072,31083.365,30413.56,31017.543,30750.844,31282.277,-Inf,0
0,1,36,93432.15,93236.734,93488.664,93295.164,92879.25,94467.25,91889.734,94112.26,57091.695,56945.688,57111.906,56972.72,56467.234,57611.637,55880.918,57510.19,30859.096,30776.613,30865.1,30785.1,30365.332,31157.775,30073.793,31118.035,-Inf,0
0,1,37,93054.35,92825.984,93024.46,92826.37,92152.39,94536.414,91072.45,94086.39,56605.35,56388.14,56621.68,56406.88,56056.906,57713.348,55118.61,57362.84,30366.781,30221.79,30401.969,30257.805,30206.988,31242.02,29626.498,31009.264,-Inf,0
