"STAID","STANAME","CN","LAT","LON","HGHT","Zona","QC","CoastDist"
229,"BADAJOZ/TALAVERA LA REAL                ","ES",38.8833333333333,-6.82916666666667,185,"MS",1,162966.718616279
230,"MADRID - RETIRO                         ","ES",40.4119444444444,-3.67805555555556,667,"MS",1,303014.162681946
231,"MALAGA AEROPUERTO                       ","ES",36.6666666666667,-4.48805555555556,7,"A",1,1665.46078843283
232,"NAVACERRADA                             ","ES",40.7805555555556,-4.01027777777778,1894,"MS",1,290613.133693745
233,"SALAMANCA AEROPUERTO                    ","ES",40.9594444444444,-5.49833333333333,790,"MN",1,259919.372609989
234,"SAN SEBASTIAN - IGUELDO                 ","ES",43.3075,-2.03944444444444,251,"C",1,943.769932513362
236,"TORTOSA - OBSERVATORIO DEL EBRO         ","ES",40.8205555555556,0.491388888888889,44,"L",1,17572.9480201175
237,"VALENCIA                                ","ES",39.4805555555556,-0.366388888888889,11,"L",1,3076.37467663276
238,"ZARAGOZA AEROPUERTO                     ","ES",41.6619444444444,-1.00805555555556,247,"E",1,172138.678222422
335,"BARCELONA -FABRA OBSERVATORY            ","ES",41.4183333333333,2.12388888888889,412,"L",1,8317.04878709855
336,"ALBACETE LOS LLANOS                     ","ES",38.9522222222222,-1.86305555555556,704,"L",1,135973.671014917
414,"BURGOS-VILLAFRIA                        ","ES",42.3561111111111,-3.6325,890,"MN",1,118195.350805915
416,"CIUDAD REAL                             ","ES",38.9894444444444,-3.91972222222222,628,"MS",1,248334.874660051
420,"A CORUNA                                ","ES",43.3672222222222,-8.41944444444444,58,"G",1,1359.35898981652
421,"MURCIA                                  ","ES",38.0027777777778,-1.16944444444444,61,"L",1,39020.1079743262
423,"SEVILLA/SAN PABLO                       ","ES",37.4166666666667,-5.87916666666667,34,"A",1,60643.8353434037
424,"SORIA                                   ","ES",41.775,-2.48305555555556,1082,"MN",1,170491.161397536
1393,"BILBAO AEROPUERTO                       ","ES",43.2980555555556,-2.90583333333333,42,"C",1,8686.70282294046
1394,"SANTIAGO DE COMPOSTELA/LABACOLLA        ","ES",42.8877777777778,-8.41083333333333,370,"G",1,34300.6450163041
1396,"PONFERRADA                              ","ES",42.5638888888889,-6.6,534,"MN",1,107802.882766936
1397,"LEON VIRGEN DEL CAMINO                  ","ES",42.5888888888889,-5.64944444444444,916,"MN",1,103761.334966625
1398,"LOGRONO-AGONCILLO                       ","ES",42.4522222222222,-2.33111111111111,353,"E",1,94266.1685403826
1399,"ZAMORA                                  ","ES",41.5166666666667,-5.73361111111111,656,"MN",1,222558.762493631
1401,"REUS/AEROPUERTO                         ","ES",41.1497222222222,1.17888888888889,71,"L",1,5968.05444913512
2969,"BARCELONA/AEROPUERTO                    ","ES",41.2927777777778,2.07,4,"L",1,1377.63553900771
3839,"MADRID/TORREJON                         ","ES",40.4833333333333,-3.45027777777778,611,NA,0,287453.045786653
3905,"VITORIA/FORONDA                         ","ES",42.8719444444444,-2.73333333333333,513,"E",1,54682.5867973847
3908,"ALMERIA/AEROPUERTO                      ","ES",36.8463888888889,-2.35694444444444,21,"A",1,1114.95567873394
3910,"GIJON                                   ","ES",43.5383333333333,-5.64194444444444,3,"C",1,2038.19070422464
3921,"CACERES CIUDAD                          ","ES",39.4833333333333,-6.36666666666667,459,"MS",1,211065.625248198
3922,"SANTANDER CMT                           ","ES",43.4916666666667,-3.79972222222222,52,"C",1,159.734039833149
3924,"CASTELLON                               ","ES",39.95,-0.0713888888888889,35,"L",1,5983.69989879339
3937,"HUELVA                                  ","ES",37.2597222222222,-6.94916666666667,17,"A",1,2871.10004452888
3943,"LLEIDA (OBSERVATORIO)                   ","ES",41.6186111111111,0.621944444444444,191,"E",1,71060.9701656208
3946,"MADRID/BARAJAS                          ","ES",40.4666666666667,-3.55555555555556,609,NA,0,295168.013696318
3947,"MADRID/CUATROVIENTOS                    ","ES",40.3777777777778,-3.78916666666667,687,NA,0,310870.769198667
3948,"MADRID/GETAFE                           ","ES",40.3,-3.7225,617,NA,0,303032.608941801
3963,"MORON DE LA FRONTERA                    ","ES",37.1583333333333,-5.61583333333333,87,"A",1,57306.3990911291
3970,"VALLADOLID (VILLANUBLA)                 ","ES",41.7,-4.85,846,"MN",1,189422.535941043
3971,"DAROCA                                  ","ES",41.1147222222222,-1.41083333333333,779,"E",1,172018.717881773
