Ix,t,l,g.300.41N.2E,g.300.42N.2E,g.300.41N.3E,g.300.42N.3E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.2E,g.500.42N.2E,g.500.41N.3E,g.500.42N.3E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.2E,g.700.42N.2E,g.700.41N.3E,g.700.42N.3E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,1,92564.67,92414.28,92604.71,92405.664,91813.68,93298.62,92628.27,91646.234,56615.79,56561.99,56617.797,56556.77,56356.555,57106.953,56763.94,56210.547,30810.559,30793.068,30823.598,30800.52,30787.064,30986.807,30854.543,30361.09,-Inf,0
1,1,2,92587.85,92459.875,92586.32,92437.27,91689.34,93210.875,92580.38,91771.336,56684.312,56616.727,56673.473,56586.21,56298.07,57040.04,56758.32,55972.457,30800.727,30783.443,30792.758,30752.291,30708.41,30950.791,30798.242,30154.621,-Inf,1
1,1,3,92091.664,91983.805,92101.24,91974.8,91542.21,92331.33,92041.66,91700.266,56281.88,56259.395,56295.93,56239.586,56103.08,56641.35,56368.332,56000.562,30501.633,30525.125,30520.676,30531.438,30560.934,30679.64,30497.7,30215.889,-Inf,1
1,1,4,91921.73,91804.67,91949.32,91842.8,91657.734,92333.82,91421.32,92260.25,56163.3,56125.965,56193.547,56145.234,56103.21,56604.28,55778.535,56328.453,30445.229,30412.422,30474.725,30427.22,30455.475,30765.021,30113.225,30392.24,-Inf,1
1,1,5,92322.7,92273.28,92339.76,92285.734,91884.18,92488.234,90414.19,92157.18,56325.91,56307.44,56353.21,56331.395,56183.11,56465.363,55150.727,56328.72,30532.266,30519.744,30576.25,30552.24,30469.447,30464.479,29732.682,30541.684,-Inf,1
1,1,6,92360.83,92337.266,92391.29,92388.23,92433.82,92741.31,90450.78,92245.69,56373.953,56376.633,56376.633,56383.457,56436.59,56720.848,55364.59,56576.44,30531.025,30564.453,30517.777,30561.762,30614.232,30720.002,30052.992,30726.521,-Inf,1
1,1,7,92311.41,92338.99,92366.96,92384.016,92408.914,92505.86,91918.86,92138.41,56354.684,56391.754,56384.258,56422,56534.418,56638.14,56269.43,56447.16,30539.615,30616.303,30538.58,30606.574,30736.354,30686.367,30610.61,30632.344,-Inf,1
1,1,8,92304.89,92389.375,92276.73,92356.234,92404.32,92804.336,92515.24,91589.336,56314.133,56363.113,56317.344,56351.87,56404.47,56749.89,56248.957,56175.348,30451.336,30502.564,30446.367,30499.355,30545.307,30642.59,30309.344,30510.12,-Inf,1
1,1,9,92304.125,92259.484,92308.15,92249.14,91993,93050.13,92697.625,92458.54,56446.36,56372.082,56447.83,56375.023,56077.516,56981.285,56297.805,56425.883,30484.764,30472.137,30471.412,30465.617,30316.38,30803.107,30227.998,30479.795,-Inf,1
1,1,10,93248.805,93001.86,93169.875,92923.88,91281.85,94025.28,93459.734,92912.39,56902.727,56710.945,56875.96,56670.93,55681.906,57672.527,56870.473,56787.766,30747.738,30641.762,30738.01,30569.213,30095.527,31316.016,30639.484,30739.562,-Inf,1
