Ix,t,l,g.300.38N.2W,g.300.39N.2W,g.300.38N.1W,g.300.39N.1W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.38N.2W,g.500.39N.2W,g.500.38N.1W,g.500.39N.1W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.38N.2W,g.700.39N.2W,g.700.38N.1W,g.700.39N.1W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92699.164,92554.13,92782.12,92656.63,91813.68,93298.62,92628.27,91646.234,56626.227,56601.47,56701.04,56663.434,56356.555,57106.953,56763.94,56210.547,30704.79,30710.066,30769.059,30774.336,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92411.79,92493.79,92513.91,92559.88,91689.34,93210.875,92580.38,91771.336,56582.465,56624.223,56636,56674.273,56298.07,57040.04,56758.32,55972.457,30681.605,30718.656,30736.768,30763.262,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,91838.77,91984.76,91836.28,91986.29,91542.21,92331.33,92041.66,91700.266,56128.64,56184.18,56157.68,56198.633,56103.08,56641.35,56368.332,56000.562,30381.89,30426.186,30408.387,30439.64,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91968.664,92015.22,91919.24,91983.23,91657.734,92333.82,91421.32,92260.25,56114.453,56136.535,56140.82,56146.707,56103.21,56604.28,55778.535,56328.453,30295.682,30335.941,30346.703,30371.44,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,92301.25,92240.71,92259.68,92262.74,91884.18,92488.234,90414.19,92157.18,56326.71,56278.934,56300.883,56286.965,56183.11,56465.363,55150.727,56328.72,30399.691,30424.428,30412.732,30414.492,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,92066.76,92013.69,92221.74,92160.82,92433.82,92741.31,90450.78,92245.69,56309.848,56310.117,56372.082,56350.668,56436.59,56720.848,55364.59,56576.44,30576.043,30575.527,30578.734,30573.975,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91915.41,91961.96,91889.35,92011.01,92408.914,92505.86,91918.86,92138.41,56197.7,56179.9,56163.168,56176.953,56534.418,56638.14,56269.43,56447.16,30453.818,30476.795,30432.81,30467.273,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92104.305,92197.22,92147.8,92205.266,92404.32,92804.336,92515.24,91589.336,56307.44,56284.688,56315.47,56268.63,56404.47,56749.89,56248.957,56175.348,30440.572,30426.082,30405.799,30415.838,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92527.125,92437.66,92534.59,92421.56,91993,93050.13,92697.625,92458.54,56548.875,56507.52,56562.793,56526.39,56077.516,56981.285,56297.805,56425.883,30517.053,30526.057,30506.496,30517.674,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93507.82,93548.82,93524.87,93542.88,91281.85,94025.28,93459.734,92912.39,57170.926,57144.695,57206.258,57157.273,55681.906,57672.527,56870.473,56787.766,30984.219,30942.719,31003.262,30951.309,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93511.84,93625.836,93513.375,93609.36,93308.766,93809.37,93550.734,93158.76,57395.227,57398.844,57419.32,57395.227,56840.492,57690.46,57255.24,57080.59,31332.367,31339.096,31338.578,31329.885,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93146.5,93243.63,93093.625,93199.57,93123.51,93310.49,92669.086,93755.53,57034.55,57053.555,57008.05,57022.773,56781.742,57279.062,56409.82,57273.04,31076.844,31066.29,31062.045,31053.559,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,92968.52,92854.914,92960.48,92856.445,92208.91,92847.445,91566.35,93435.98,56785.62,56698.098,56758.055,56703.85,56138.008,56750.29,55561.594,57159.55,30747.428,30654.904,30728.488,30674.672,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92753.76,92640.16,92711.62,92610.65,91827.28,93090.75,92290.14,93833.695,56655.004,56520.234,56677.22,56541.51,55929.496,56874.22,55951.715,57155.8,30631.205,30577.492,30620.959,30576.664,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93635.03,93651.51,93512.03,93544.984,92685.56,93439.62,93908.99,94717.65,57224.594,57211.074,57149.51,57154.73,56631.582,57273.977,57339.82,57838.48,31136.56,31136.043,31121.242,31116.275,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94461.89,94480.47,94346.37,94374.914,93543.836,93636.37,94517.445,95061.34,57773.17,57792.176,57720.707,57746.67,57210.94,57276.652,57875.152,58060.508,31450.66,31483.88,31421.889,31454.387,31186.65,31262.2,31665.201,31339.406,-Inf,0
0,1,17,94701.17,94696.19,94643.125,94654.62,94147.125,93413.18,93841.17,94769.18,57920.254,57926.543,57872.742,57882.51,57633.582,57202.11,57504.57,57965.62,31388.668,31420.957,31366.934,31406.365,31418.682,31101.373,31334.645,31333.195,-Inf,0
0,1,18,94388.32,94398.28,94312.836,94332.19,94312.266,93318.34,94335.26,94827.234,57841.96,57854.94,57796.727,57824.43,57884.92,57190.867,57631.977,58191.4,31415.68,31454.387,31391.36,31440.414,31563.674,31121.863,31382.355,31492.16,-Inf,0
0,1,19,94345.41,94369.36,94330.47,94358.44,93421.8,93570.47,94257.47,94888.34,57859.895,57859.895,57825.902,57824.562,57411.156,57371.406,57822.152,58311.043,31467.53,31504.994,31427.996,31468.46,31332.266,31162.02,31506.443,31704.734,-Inf,0
0,1,20,94416.1,94382.19,94386.21,94340.62,93731.2,93779.09,94039.266,95012.68,57875.55,57863.773,57834.465,57819.074,57211.21,57411.29,57591.023,58280.527,31574.127,31590.375,31520.104,31540.596,30969.834,31247.918,31348.1,31658.162,-Inf,0
0,1,21,94274.33,94302.305,94142.336,94161.3,93643.266,94004.4,93272.75,94624.734,57714.418,57703.176,57669.184,57659.414,57150.984,57543.113,56960.676,57996.67,31377.283,31347.479,31312.395,31296.352,30808.074,31159.95,30879.795,31375.215,-Inf,0
0,1,22,94270.5,94224.52,94260.16,94224.52,93831.016,93849.984,90985.48,94436.984,57765.008,57723.117,57750.82,57722.047,57312.52,57531.07,55758.996,57832.86,31361.863,31337.646,31366.107,31344.373,31013.404,31272.86,30256.873,31262.406,-Inf,0
0,1,23,94216.664,94036.77,94253.64,94083.71,93367.2,94265.13,92720.62,94050.76,57671.457,57546.727,57705.453,57583.664,57076.707,57668.65,56529.2,57665.703,31290.97,31224.115,31311.463,31246.365,30983.39,31295.525,30596.432,31227.115,-Inf,0
0,1,24,93526.02,93367.01,93627.94,93455.9,92575.016,94308.43,92912.39,93520.84,57224.992,57049.94,57248.95,57082.46,56375.695,57659.95,56722.99,57491.188,30958.76,30851.023,30984.736,30836.742,30487.246,31259.303,30773.715,31197.31,-Inf,0
0,1,25,93421.61,93057.99,93385.59,93030.59,91303.12,94014.55,93071.59,93994.05,56975.13,56728.074,56950.637,56693.414,55699.04,57438.055,56854.812,57534.15,30707.273,30586.082,30684.4,30540.027,30090.25,31174.127,30846.264,31092.99,-Inf,0
0,1,26,93419.88,93242.87,93401.875,93178.875,91406.38,94156.51,93169.875,93895.38,57097.85,56971.113,57102.67,56944.348,55704.793,57651.652,57223.79,57427.617,30827.738,30760.984,30830.945,30757.363,30108.568,31322.95,31186.857,30942.822,-Inf,0
0,1,27,93510.88,93279.45,93500.92,93275.44,92411.41,94068,93737.52,93860.9,57331.523,57201.17,57317.74,57178.957,56551.418,57698.76,57390.945,57573.227,31072.705,31018.164,31058.217,30996.432,30623.857,31399.535,31310.324,31147.943,-Inf,0
0,1,28,93197.46,93027.53,93234.055,93017.57,92455.086,94098.08,93378.5,93229.07,57202.11,57086.074,57224.324,57083.53,56311.59,57720.31,57141.348,57264.61,31089.057,31037.518,31095.99,31034.516,30460.03,31393.738,30952.24,31061.32,-Inf,0
0,1,29,92732.49,92570.61,92671.57,92547.625,92038.98,93810.13,92477.12,93881.59,56776.656,56675.344,56810.113,56682.17,55817.883,57410.35,56360.168,57234.363,30745.357,30698.062,30725.28,30713.275,29878.607,31097.854,30374.543,30833.844,-Inf,0
0,1,30,93329.266,93122.74,93388.27,93171.21,91967.33,94297.7,91079.164,93577.17,56921.062,56775.85,56980.348,56834.605,55815.605,57693.81,55417.32,57050.344,30671.775,30590.637,30707.893,30645.797,29850.25,31256.922,29785.566,30683.469,-Inf,0
0,1,31,93250.72,93052.82,93394.79,93182.9,91959.28,94724.35,90779.336,93281.375,56874.22,56716.7,56999.22,56816.402,55949.973,57991.85,55395.64,56713.62,30574.596,30485.592,30654.078,30539.098,30163.832,31367.865,29924.145,30478.14,-Inf,0
0,1,32,93107.99,92728.086,93285.97,92904.53,91607.16,94784.125,91380.13,93169.11,56637.74,56434.18,56762.203,56540.04,55763.277,57908.207,55813.734,56570.42,30479.691,30354.156,30517.467,30401.658,29949.396,31189.963,30130.922,30414.182,-Inf,0
0,1,33,92412.37,92013.88,92608.35,92165.23,90818.23,94679.91,92580.766,93353.41,56268.63,56108.43,56327.918,56129.176,55402.867,57670.12,56446.625,56898.176,30445.953,30349.188,30431.258,30339.252,29806.783,31005.021,30550.273,30690.713,-Inf,0
0,1,34,93374.67,93226.195,93347.27,93199.19,91926.33,94232.19,93108.76,93974.7,57081.66,56992.395,57051.414,56964.156,56030.676,57412.625,56627.164,57497.88,30916.328,30863.03,30861.27,30839.328,30250.248,30974.49,30606.781,31117.31,-Inf,0
0,1,35,94334.3,94298.85,94277.4,94240.42,92557.97,94038.88,93656.87,94553.84,57496.81,57428.016,57448.76,57365.785,56256.047,57473.79,57015.812,57811.047,31168.85,31124.762,31114.102,31093.094,30413.56,31017.543,30750.844,31282.277,-Inf,0
