Ix,t,l,g.300.41N.0W,g.300.42N.0W,g.300.41N.1E,g.300.42N.1E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.0W,g.500.42N.0W,g.500.41N.1E,g.500.42N.1E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.0W,g.700.42N.0W,g.700.41N.1E,g.700.42N.1E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92478.66,92363.7,92522.72,92401.26,91813.68,93298.62,92628.27,91646.234,56588.49,56538.03,56603.477,56556.77,56356.555,57106.953,56763.94,56210.547,30783.857,30757.57,30801.348,30763.78,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92582.3,92480.375,92585.36,92472.91,91689.34,93210.875,92580.38,91771.336,56686.72,56636.266,56688.33,56627.03,56298.07,57040.04,56758.32,55972.457,30795.861,30796.896,30799.484,30797.518,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92078.83,92005.26,92081.695,91992.805,91542.21,92331.33,92041.66,91700.266,56270.367,56277.33,56270.1,56266.89,56103.08,56641.35,56368.332,56000.562,30489.627,30496.148,30489.938,30504.22,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91939.164,91829.77,91914.836,91799.31,91657.734,92333.82,91421.32,92260.25,56134.527,56098.797,56147.51,56104.28,56103.21,56604.28,55778.535,56328.453,30409.42,30380.96,30419.252,30398.451,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,92273.664,92221.17,92303.74,92250.29,91884.18,92488.234,90414.19,92157.18,56271.973,56239.453,56295.13,56274.117,56183.11,56465.363,55150.727,56328.72,30440.986,30424.014,30480.52,30476.174,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,92220.21,92138.21,92294.734,92248.76,92433.82,92741.31,90450.78,92245.69,56334.61,56279.6,56357.36,56338.086,56436.59,56720.848,55364.59,56576.44,30551.516,30540.027,30543.236,30550.998,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,92198.945,92190.516,92252.016,92268.49,92408.914,92505.86,91918.86,92138.41,56289.64,56326.71,56324.438,56360.703,56534.418,56638.14,56269.43,56447.16,30554.31,30596.846,30536.096,30604.09,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92351.25,92395.89,92333.82,92387.84,92404.32,92804.336,92515.24,91589.336,56325.105,56363.65,56316.94,56365.12,56404.47,56749.89,56248.957,56175.348,30482.797,30510.326,30463.03,30504.531,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92339.56,92304.125,92309.1,92283.05,91993,93050.13,92697.625,92458.54,56433.11,56326.043,56439.8,56344.38,56077.516,56981.285,56297.805,56425.883,30512.293,30462.719,30495.01,30465.41,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93369.305,93185.39,93308.38,93097.836,91281.85,94025.28,93459.734,92912.39,56926.414,56773.445,56916.242,56744,55681.906,57672.527,56870.473,56787.766,30780.752,30644.97,30756.535,30638.553,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93623.73,93599.78,93575.26,93553.8,93308.766,93809.37,93550.734,93158.76,57249.22,57150.582,57217.766,57116.32,56840.492,57690.46,57255.24,57080.59,31176.094,31059.043,31121.346,31020.338,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93216.62,93217,93168.15,93148.99,93123.51,93310.49,92669.086,93755.53,57025.047,57012.734,56971.516,56955.992,56781.742,57279.062,56409.82,57273.04,30933.611,30876.379,30889.627,30851.852,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,92634.41,92482.87,92665.445,92502.41,92208.91,92847.445,91566.35,93435.98,56499.086,56355.62,56513.543,56361.508,56138.008,56750.29,55561.594,57159.55,30527.713,30433.225,30544.479,30463.96,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92392.25,92296.266,92365.62,92282.664,91827.28,93090.75,92290.14,93833.695,56326.445,56208.938,56368.2,56237.445,55929.496,56874.22,55951.715,57155.8,30493.975,30445.746,30508.67,30451.75,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93419.5,93389.62,93335.98,93284.055,92685.56,93439.62,93908.99,94717.65,57086.344,57038.297,57048.336,57012.336,56631.582,57273.977,57339.82,57838.48,31075.293,31041.244,31043.727,31013.3,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94269.92,94266.86,94157.47,94155.94,93543.836,93636.37,94517.445,95061.34,57698.895,57690.73,57624.75,57616.188,57210.94,57276.652,57875.152,58060.508,31440.414,31445.383,31396.12,31399.95,31186.65,31262.2,31665.201,31339.406,-Inf,0
0,1,17,94574.54,94560.555,94477.22,94472.04,94147.125,93413.18,93841.17,94769.18,57847.848,57845.04,57776.25,57786.02,57633.582,57202.11,57504.57,57965.62,31447.658,31474.67,31393.43,31428.617,31418.682,31101.373,31334.645,31333.195,-Inf,0
0,1,18,94369.74,94416.67,94334.3,94393.305,94312.266,93318.34,94335.26,94827.234,57874.215,57906.6,57864.71,57909.945,57884.92,57190.867,57631.977,58191.4,31521.656,31547.115,31510.582,31544.838,31563.674,31121.863,31382.355,31492.16,-Inf,0
0,1,19,94310.35,94254.41,94175.28,94103.445,93421.8,93570.47,94257.47,94888.34,57720.04,57668.113,57664.9,57597.047,57411.156,57371.406,57822.152,58311.043,31507.477,31504.27,31465.459,31461.734,31332.266,31162.02,31506.443,31704.734,-Inf,0
0,1,20,94192.72,94118.766,94141.76,94052.1,93731.2,93779.09,94039.266,95012.68,57712.543,57674.805,57643.49,57620.336,57211.21,57411.29,57591.023,58280.527,31447.865,31399.121,31369.418,31351.824,30969.834,31247.918,31348.1,31658.162,-Inf,0
0,1,21,94071.26,94085.24,93910.33,93927.766,93643.266,94004.4,93272.75,94624.734,57555.156,57535.484,57489.18,57467.363,57150.984,57543.113,56960.676,57996.67,31147.53,31114.205,31083.469,31070.22,30808.074,31159.95,30879.795,31375.215,-Inf,0
0,1,22,94119.53,94033.13,94120.11,94062.63,93831.016,93849.984,90985.48,94436.984,57628.363,57562.785,57607.086,57554.62,57312.52,57531.07,55758.996,57832.86,31254.438,31200.621,31231.36,31177.44,31013.404,31272.86,30256.873,31262.406,-Inf,0
0,1,23,93656.1,93364.13,93759.17,93503.61,93367.2,94265.13,92720.62,94050.76,57358.426,57188.727,57399.645,57254.703,57076.707,57668.65,56529.2,57665.703,31113.895,31007.193,31155.293,31050.559,30983.39,31295.525,30596.432,31227.115,-Inf,0
0,1,24,92948.02,92580,92985.95,92664.484,92575.016,94308.43,92912.39,93520.84,56719.91,56412.23,56767.29,56497.215,56375.695,57659.95,56722.99,57491.188,30628.309,30505.979,30692.473,30550.48,30487.246,31259.303,30773.715,31197.31,-Inf,0
0,1,25,91888.586,91109.05,91874.6,91113.07,91303.12,94014.55,93071.59,93994.05,55890.82,55646.31,55952.785,55678.293,55699.04,57438.055,56854.812,57534.15,30290.094,30208.955,30285.023,30211.854,30090.25,31174.127,30846.264,31092.99,-Inf,0
0,1,26,92496.47,92359.49,92108.52,91927.86,91406.38,94156.51,93169.875,93895.38,56513.14,56383.59,56394.832,56239.32,55704.793,57651.652,57223.79,57427.617,30614.129,30560.312,30571.387,30532.37,30108.568,31322.95,31186.857,30942.822,-Inf,0
0,1,27,92940.36,92797.44,92974.84,92835.95,92411.41,94068,93737.52,93860.9,56936.99,56828.984,56941.54,56826.04,56551.418,57698.76,57390.945,57573.227,30920.467,30924.297,30901.424,30917.984,30623.857,31399.535,31310.324,31147.943,-Inf,0
0,1,28,92704.91,92784.03,92611.99,92696.09,92455.086,94098.08,93378.5,93229.07,56793.52,56765.28,56746.812,56713.62,56311.59,57720.31,57141.348,57264.61,30901.012,30829.498,30855.992,30806.521,30460.03,31393.738,30952.24,31061.32,-Inf,0
0,1,29,92572.14,92644.56,92637.086,92683.64,92038.98,93810.13,92477.12,93881.59,56575.906,56538.97,56589.426,56522.375,55817.883,57410.35,56360.168,57234.363,30594.775,30517.053,30578.838,30504.531,29878.607,31097.854,30374.543,30833.844,-Inf,0
