Ix,t,l,g.300.42N.9W,g.300.43N.9W,g.300.42N.8W,g.300.43N.8W,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.42N.9W,g.500.43N.9W,g.500.42N.8W,g.500.43N.8W,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.42N.9W,g.700.43N.9W,g.700.42N.8W,g.700.43N.8W,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92198.75,92305.66,92186.69,92280.17,91813.68,93298.62,92628.27,91646.234,56392.56,56540.71,56381.047,56518.227,56356.555,57106.953,56763.94,56210.547,30587.842,30668.566,30590.533,30675.604,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92442.25,92429.8,92443.78,92416.77,91689.34,93210.875,92580.38,91771.336,56527.06,56572.293,56545.797,56579.79,56298.07,57040.04,56758.32,55972.457,30638.863,30676.225,30662.564,30700.027,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92099.32,92031.31,92082.27,92016.18,91542.21,92331.33,92041.66,91700.266,56263.945,56294.19,56277.33,56307.84,56103.08,56641.35,56368.332,56000.562,30430.43,30473.69,30453.922,30483.21,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91795.67,91714.25,91874.79,91790.69,91657.734,92333.82,91421.32,92260.25,55957.734,55911.965,55984.234,55937.26,56103.21,56604.28,55778.535,56328.453,30231,30186.498,30245.178,30207.92,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,91247.75,91080.695,91417.68,91274.19,91884.18,92488.234,90414.19,92157.18,55722.19,55582.47,55777.195,55661.7,56183.11,56465.363,55150.727,56328.72,30109.498,30013.768,30150.69,30051.957,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,91294.69,91112.305,91299.67,91148.32,92433.82,92741.31,90450.78,92245.69,56032.684,55879.176,56063.863,55910.094,56436.59,56720.848,55364.59,56576.44,30442.229,30356.95,30443.469,30362.746,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,91543.36,91688.96,91562.516,91619.414,92408.914,92505.86,91918.86,92138.41,56301.418,56301.016,56296.734,56287.9,56534.418,56638.14,56269.43,56447.16,30726.521,30721.037,30721.348,30716.586,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92596.86,92612.375,92522.336,92546.28,92404.32,92804.336,92515.24,91589.336,56503.1,56441.137,56462.953,56406.344,56404.47,56749.89,56248.957,56175.348,30580.08,30525.85,30560.52,30493.354,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92958.56,92893.04,92846.1,92778.09,91993,93050.13,92697.625,92458.54,56580.055,56502.03,56535.09,56447.562,56077.516,56981.285,56297.805,56425.883,30521.297,30429.602,30483.107,30396.38,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93776.8,93684.266,93714.34,93632.734,91281.85,94025.28,93459.734,92912.39,57128.234,57057.168,57068.68,56983.695,55681.906,57672.527,56870.473,56787.766,30855.475,30785.514,30819.252,30744.53,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93901.9,93812.81,93880.83,93795.38,93308.766,93809.37,93550.734,93158.76,57519.83,57447.824,57493.06,57422.797,56840.492,57690.46,57255.24,57080.59,31231.36,31248.125,31213.041,31229.29,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93560.125,93378.12,93573.15,93412.03,93123.51,93310.49,92669.086,93755.53,57158.613,56993.867,57162.76,57026.52,56781.742,57279.062,56409.82,57273.04,30946.34,30861.373,30951.102,30866.857,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,92209.87,92020.97,92204.5,91988.98,92208.91,92847.445,91566.35,93435.98,56195.29,55980.086,56182.574,55977.277,56138.008,56750.29,55561.594,57159.55,30320.727,30213.717,30310.69,30195.709,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92893.234,92716.21,92818.13,92613.72,91827.28,93090.75,92290.14,93833.695,56381.72,56250.027,56333,56195.957,55929.496,56874.22,55951.715,57155.8,30366.988,30276.742,30356.432,30274.984,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,94227.586,94131.6,94150.57,94055.55,92685.56,93439.62,93908.99,94717.65,57578.848,57508.586,57527.32,57457.594,56631.582,57273.977,57339.82,57838.48,31340.75,31288.281,31295.318,31246.986,30668.773,31251.23,31162.537,31365.28,-Inf,0
1,1,16,94748.3,94699.83,94756.34,94720.91,93543.836,93636.37,94517.445,95061.34,57982.887,57967.496,58009.25,57988.91,57210.94,57276.652,57875.152,58060.508,31660.854,31691.385,31655.162,31691.902,31186.65,31262.2,31665.201,31339.406,-Inf,0
1,1,17,94242.15,94125.09,94380.086,94298.086,94147.125,93413.18,93841.17,94769.18,57619.8,57596.246,57736.5,57715.758,57633.582,57202.11,57504.57,57965.62,31390.635,31388.875,31439.172,31432.86,31418.682,31101.373,31334.645,31333.195,-Inf,1
1,1,18,94432.766,94439.28,94431.234,94451.16,94312.266,93318.34,94335.26,94827.234,57809.707,57744.13,57819.477,57751.625,57884.92,57190.867,57631.977,58191.4,31453.662,31450.867,31512.86,31501.371,31563.674,31121.863,31382.355,31492.16,-Inf,1
1,1,19,94541.97,94471.47,94540.82,94485.45,93421.8,93570.47,94257.47,94888.34,57980.88,57937.117,57997.07,57957.59,57411.156,57371.406,57822.152,58311.043,31572.988,31556.016,31613.766,31578.68,31332.266,31162.02,31506.443,31704.734,-Inf,1
0,1,20,94527.22,94400.2,94512.27,94395.6,93731.2,93779.09,94039.266,95012.68,57959.332,57851.062,57953.043,57860.832,57211.21,57411.29,57591.023,58280.527,31511.824,31459.354,31539.354,31487.4,30969.834,31247.918,31348.1,31658.162,-Inf,1
0,1,21,94007.266,93852.86,94083.33,93951.91,93643.266,94004.4,93272.75,94624.734,57555.426,57415.973,57636.125,57521.434,57150.984,57543.113,56960.676,57996.67,31147.426,31078.81,31191.203,31127.97,30808.074,31159.95,30879.795,31375.215,-Inf,0
0,1,22,92893.04,92479.04,93061.63,92698.97,93831.016,93849.984,90985.48,94436.984,56813.594,56505.51,56922.8,56644.297,57312.52,57531.07,55758.996,57832.86,30742.873,30601.918,30775.889,30650.87,31013.404,31272.86,30256.873,31262.406,-Inf,0
0,1,23,93495.75,93297.66,93434.64,93205.125,93367.2,94265.13,92720.62,94050.76,57115.387,56960.406,57082.73,56900.45,57076.707,57668.65,56529.2,57665.703,30886.107,30788.72,30846.057,30736.56,30983.39,31295.525,30596.432,31227.115,-Inf,0
