Ix,t,l,g.300.41N.1E,g.300.42N.1E,g.300.41N.2E,g.300.42N.2E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.1E,g.500.42N.1E,g.500.41N.2E,g.500.42N.2E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.1E,g.700.42N.1E,g.700.41N.2E,g.700.42N.2E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,1,92522.72,92401.26,92564.67,92414.28,91813.68,93298.62,92628.27,91646.234,56603.477,56556.77,56615.79,56561.99,56356.555,57106.953,56763.94,56210.547,30801.348,30763.78,30810.559,30793.068,30787.064,30986.807,30854.543,30361.09,-Inf,0
0,1,2,92585.36,92472.91,92587.85,92459.875,91689.34,93210.875,92580.38,91771.336,56688.33,56627.03,56684.312,56616.727,56298.07,57040.04,56758.32,55972.457,30799.484,30797.518,30800.727,30783.443,30708.41,30950.791,30798.242,30154.621,-Inf,0
0,1,3,92081.695,91992.805,92091.664,91983.805,91542.21,92331.33,92041.66,91700.266,56270.1,56266.89,56281.88,56259.395,56103.08,56641.35,56368.332,56000.562,30489.938,30504.22,30501.633,30525.125,30560.934,30679.64,30497.7,30215.889,-Inf,0
0,1,4,91914.836,91799.31,91921.73,91804.67,91657.734,92333.82,91421.32,92260.25,56147.51,56104.28,56163.3,56125.965,56103.21,56604.28,55778.535,56328.453,30419.252,30398.451,30445.229,30412.422,30455.475,30765.021,30113.225,30392.24,-Inf,0
0,1,5,92303.74,92250.29,92322.7,92273.28,91884.18,92488.234,90414.19,92157.18,56295.13,56274.117,56325.91,56307.44,56183.11,56465.363,55150.727,56328.72,30480.52,30476.174,30532.266,30519.744,30469.447,30464.479,29732.682,30541.684,-Inf,0
0,1,6,92294.734,92248.76,92360.83,92337.266,92433.82,92741.31,90450.78,92245.69,56357.36,56338.086,56373.953,56376.633,56436.59,56720.848,55364.59,56576.44,30543.236,30550.998,30531.025,30564.453,30614.232,30720.002,30052.992,30726.521,-Inf,0
0,1,7,92252.016,92268.49,92311.41,92338.99,92408.914,92505.86,91918.86,92138.41,56324.438,56360.703,56354.684,56391.754,56534.418,56638.14,56269.43,56447.16,30536.096,30604.09,30539.615,30616.303,30736.354,30686.367,30610.61,30632.344,-Inf,0
0,1,8,92333.82,92387.84,92304.89,92389.375,92404.32,92804.336,92515.24,91589.336,56316.94,56365.12,56314.133,56363.113,56404.47,56749.89,56248.957,56175.348,30463.03,30504.531,30451.336,30502.564,30545.307,30642.59,30309.344,30510.12,-Inf,0
0,1,9,92309.1,92283.05,92304.125,92259.484,91993,93050.13,92697.625,92458.54,56439.8,56344.38,56446.36,56372.082,56077.516,56981.285,56297.805,56425.883,30495.01,30465.41,30484.764,30472.137,30316.38,30803.107,30227.998,30479.795,-Inf,0
0,1,10,93308.38,93097.836,93248.805,93001.86,91281.85,94025.28,93459.734,92912.39,56916.242,56744,56902.727,56710.945,55681.906,57672.527,56870.473,56787.766,30756.535,30638.553,30747.738,30641.762,30095.527,31316.016,30639.484,30739.562,-Inf,0
0,1,11,93575.26,93553.8,93534.26,93508.4,93308.766,93809.37,93550.734,93158.76,57217.766,57116.32,57174.273,57095.58,56840.492,57690.46,57255.24,57080.59,31121.346,31020.338,31092.059,30984.633,30607.816,31461.32,31195.861,31132.627,-Inf,0
0,1,12,93168.15,93148.99,93142.09,93112.98,93123.51,93310.49,92669.086,93755.53,56971.516,56955.992,56916.242,56900.05,56781.742,57279.062,56409.82,57273.04,30889.627,30851.852,30868.307,30829.809,30732.111,31207.867,30544.79,31141.32,-Inf,0
0,1,13,92665.445,92502.41,92692.45,92563.52,92208.91,92847.445,91566.35,93435.98,56513.543,56361.508,56526.79,56401.523,56138.008,56750.29,55561.594,57159.55,30544.479,30463.96,30555.45,30458.166,30294.44,30778.475,30010.975,30931.23,-Inf,0
0,1,14,92365.62,92282.664,92357.766,92284.195,91827.28,93090.75,92290.14,93833.695,56368.2,56237.445,56405.805,56273.98,55929.496,56874.22,55951.715,57155.8,30508.67,30451.75,30519.951,30450.922,30240.418,30809.42,30043.988,30880.416,-Inf,0
0,1,15,93335.98,93284.055,93256.66,93218.53,92685.56,93439.62,93908.99,94717.65,57048.336,57012.336,57008.586,56985.97,56631.582,57273.977,57339.82,57838.48,31043.727,31013.3,31036.793,30982.045,30668.773,31251.23,31162.537,31365.28,-Inf,0
0,1,16,94157.47,94155.94,94026.81,94032.37,93543.836,93636.37,94517.445,95061.34,57624.75,57616.188,57549.402,57536.957,57210.94,57276.652,57875.152,58060.508,31396.12,31399.95,31357.621,31357.93,31186.65,31262.2,31665.201,31339.406,-Inf,0
0,1,17,94477.22,94472.04,94377.59,94389.664,94147.125,93413.18,93841.17,94769.18,57776.25,57786.02,57695.01,57723.52,57633.582,57202.11,57504.57,57965.62,31393.43,31428.617,31346.133,31393.945,31418.682,31101.373,31334.645,31333.195,-Inf,0
