"STAID";"predict.test";"t";"l"
"1393";8,47944895313586e-05;52;1
"1393";0,000270200070202111;52;2
"1393";0,000714954626675302;52;3
"1393";0,000838477011992786;52;4
"1393";0,000995407174296368;52;5
"1393";0,00088051296888457;52;6
"1393";0,000417252119460824;52;7
"1393";0,000143477164588132;52;8
"1393";0,00029322901707731;52;9
"1393";0,000311690535326623;52;10
"1393";0,000875087679940486;52;11
"1393";0,00725690044394448;52;12
"1393";0,00820596285347948;52;13
"1393";0,0106572801594412;52;14
"1393";0,0499931252437902;52;15
"1393";0,00917850488304818;52;16
"1393";0,0146161211523082;52;17
"1393";0,00166710820246257;52;18
"1393";0,00630710295902183;52;19
"1393";0,0392655767975699;52;20
"1393";0,0809824602562724;52;21
"1393";0,0102628569170923;52;22
"1393";0,00281154816697116;52;23
"1393";0,00926803151442254;52;24
"1393";0,159169865565646;52;25
"1393";0,585146373186995;52;26
"1393";0,610089696719491;52;27
"1393";0,0696801706356949;52;28
"1393";0,0121320875383043;52;29
"1393";0,00880456044671937;52;30
"1393";0,0155313899163801;52;31
"1393";0,0156945589701658;52;32
"1393";0,00335961290418492;52;33
"1393";0,0066278409249981;52;34
"1393";0,0255964322195066;52;35
"1393";0,022499343448427;52;36
"1393";0,00354096654622963;52;37
"1393";0,00703055647293917;52;38
"1393";0,00652793925652909;52;39
"1393";0,00812380408441284;52;40
"1393";0,0173562304735846;52;41
"1393";0,00580555868369967;52;42
"1393";0,000360848298909908;52;43
"1393";0,00108507130746663;52;44
"1393";0,00601042825931098;52;45
"1393";0,01627782675434;52;46
"1393";0,00314650754660611;52;47
"1393";0,00123297619667316;52;48
"1393";0,000141985851977248;52;49
"1393";0,0012974294695257;52;50
"1393";0,00114931136189831;52;51
"1393";0,00116887583292115;52;52
"1393";0,000296921655441186;52;53
"1393";0,000535802049782884;52;54
"1393";0,000891970901402434;52;55
"1393";0,000991983608318928;52;56
"1393";0,00133703163187257;52;57
"1393";0,00136169620395159;52;58
"1393";0,0064387167973878;52;59
"1393";0,0035910903831193;52;60
"1393";0,00617088663455895;52;61
"1393";0,0278483127849362;52;62
"1393";0,0239363791821028;52;63
"1393";0,00999375692642369;52;64
"1393";0,0688425720186546;52;65
"1393";0,0393028375007052;52;66
"1393";0,0122394867646402;52;67
"1393";0,00881617613741336;52;68
"1393";0,000754313007608967;52;69
"1393";0,00217865329258813;52;70
"1393";0,0372658693231085;52;71
"1393";0,0421354303816957;52;72
"1393";0,05419640583577;52;73
"1393";0,0663423543588751;52;74
"1393";0,0324680696197803;52;75
"1393";0,00907388855169566;52;76
"1393";0,0521721657593577;52;77
"1393";0,0660639365447758;52;78
"1393";0,0604059572386761;52;79
"1393";0,296122097091031;52;80
"1393";0,735626777797331;52;81
"1393";0,632397414402785;52;82
"1393";0,130125582526749;52;83
"1393";0,0564645789971747;52;84
"1393";0,0225837945778746;52;85
"1393";0,0415359336141312;52;86
"1393";0,000921463591564967;52;87
"1393";0,00121311140893278;52;88
"1393";0,0157315916711677;52;89
"1393";0,012999689927035;52;90
"1393";0,0183765712398763;52;91
"1393";0,0309208917004877;52;92
"1393";0,0227210796578112;53;1
"1393";0,06673074941402;53;2
"1393";0,00305930366774881;53;3
"1393";0,00083910813248232;53;4
"1393";0,007669386949295;53;5
"1393";0,0279917551720128;53;6
"1393";0,00959419271336522;53;7
"1393";0,000529801501428339;53;8
"1393";0,00162510313265812;53;9
"1393";0,00137694496676372;53;10
"1393";0,000191446386110684;53;11
"1393";1,11538222677002e-05;53;12
"1393";0,000202513289063161;53;13
"1393";0,0335890208136596;53;14
"1393";0,0342162915325577;53;15
"1393";0,0221352878616427;53;16
"1393";0,0473565632004102;53;17
"1393";0,018542192200028;53;18
"1393";0,0218309285709918;53;19
"1393";0,026160230659094;53;20
"1393";0,00552855589376929;53;21
"1393";0,00473516360675779;53;22
"1393";0,0186503871464599;53;23
"1393";0,0548885841879508;53;24
"1393";0,0813435137357882;53;25
"1393";0,189016386114947;53;26
"1393";0,31081317326212;53;27
"1393";0,34928705314725;53;28
"1393";0,0321525560949738;53;29
"1393";0,00160935467661176;53;30
"1393";0,00124254585659772;53;31
"1393";0,00615516950782295;53;32
"1393";0,0191082996977856;53;33
"1393";0,0116438667799218;53;34
"1393";0,00156549477210961;53;35
"1393";0,000844688052416885;53;36
"1393";0,00263661587873449;53;37
"1393";0,00279824668100435;53;38
"1393";0,00314730830878795;53;39
"1393";0,00243289500413722;53;40
"1393";0,00308096492383214;53;41
"1393";0,0138550267385339;53;42
"1393";0,019523784761852;53;43
"1393";0,00131770944442333;53;44
"1393";0,000681690379130912;53;45
"1393";0,0162235859427438;53;46
"1393";0,269619592367704;53;47
"1393";0,422755834357073;53;48
"1393";0,0494661066614425;53;49
"1393";0,00751546519771995;53;50
"1393";0,00532965091853434;53;51
"1393";0,00488234475391081;53;52
"1393";0,0143997390837295;53;53
"1393";0,0148975587979314;53;54
"1393";0,0308388114954366;53;55
"1393";0,0501438529604292;53;56
"1393";0,0218197193424351;53;57
"1393";0,0102244082603503;53;58
"1393";0,00955468586600866;53;59
"1393";0,0135472008064045;53;60
"1393";0,0695058685343568;53;61
"1393";0,0552267085015109;53;62
"1393";0,00685634856056474;53;63
"1393";0,0142933851931457;53;64
"1393";0,00997403729885078;53;65
"1393";0,0027409826886387;53;66
"1393";0,00323010816749082;53;67
"1393";0,0502874262415556;53;68
"1393";0,201828322087678;53;69
"1393";0,272928825560161;53;70
"1393";0,624180621080145;53;71
"1393";0,224502092139564;53;72
"1393";0,0170293424846603;53;73
"1393";0,0175985642851977;53;74
"1393";0,0913185233512209;53;75
"1393";0,053241816207;53;76
"1393";0,140223250517885;53;77
"1393";0,45887473812545;53;78
"1393";0,705190024106386;53;79
"1393";0,78022955962026;53;80
"1393";0,546447433546218;53;81
"1393";0,248000455751477;53;82
"1393";0,0654408314233484;53;83
"1393";0,0827909862417282;53;84
"1393";0,0352937092755486;53;85
"1393";0,00315539000047833;53;86
"1393";0,00713479494622063;53;87
"1393";0,114545342888699;53;88
"1393";0,0653073764759812;53;89
"1393";0,0436374262389561;53;90
"1393";0,00156350994460483;53;91
"1393";0,000340558348418272;53;92
"1393";0,000259101490131688;54;1
"1393";0,000126304789433206;54;2
"1393";0,000283821850473809;54;3
"1393";0,000599029722845685;54;4
"1393";0,000817296491338934;54;5
"1393";0,0016493865559837;54;6
"1393";0,000507108508659521;54;7
"1393";7,87250906154381e-05;54;8
"1393";3,50200228655959e-05;54;9
"1393";0,00132647311340282;54;10
"1393";0,0103769347620469;54;11
"1393";0,0775311419513906;54;12
"1393";0,0128742139913285;54;13
"1393";0,040778462008862;54;14
"1393";0,0183871848101907;54;15
"1393";0,141566441646848;54;16
"1393";0,0496135605467787;54;17
"1393";0,000719382280731465;54;18
"1393";0,000270498759705685;54;19
"1393";0,000274867387254375;54;20
"1393";0,000433117547415301;54;21
"1393";0,00543241242457571;54;22
"1393";0,00157661761349941;54;23
"1393";0,00149600296935209;54;24
"1393";0,00360643975695648;54;25
"1393";0,00384947920530479;54;26
"1393";0,00236888438227783;54;27
"1393";0,0015238878638931;54;28
"1393";0,0116509925538916;54;29
"1393";0,023783118191995;54;30
"1393";0,00965978074631116;54;31
"1393";0,00970898675480409;54;32
"1393";0,00544572395349014;54;33
"1393";0,0516631097090951;54;34
"1393";0,153511377574127;54;35
"1393";0,151585789635781;54;36
"1393";0,0899574847058679;54;37
"1393";0,0626417057588398;54;38
"1393";0,0417173051101712;54;39
"1393";0,0139292507859941;54;40
"1393";0,00715529404501268;54;41
"1393";0,0126660565382295;54;42
"1393";0,0128918227849383;54;43
"1393";0,00805665290069219;54;44
"1393";0,0131037068359722;54;45
"1393";0,0106540214771602;54;46
"1393";0,00807188865735376;54;47
"1393";0,00869235415247705;54;48
"1393";0,0130289052911047;54;49
"1393";0,0258131317243099;54;50
"1393";0,0867867329030565;54;51
"1393";0,0897304268374438;54;52
"1393";0,0845171049567099;54;53
"1393";0,0616491685217218;54;54
"1393";0,12521995490845;54;55
"1393";0,118366047121345;54;56
"1393";0,074172663078858;54;57
"1393";0,0131092246680806;54;58
"1393";0,00640754514760236;54;59
"1393";0,103474607917556;54;60
"1393";0,423944795959517;54;61
"1393";0,428750471089234;54;62
"1393";0,116258138788081;54;63
"1393";0,0382463969151096;54;64
"1393";0,0851735253798318;54;65
"1393";0,0794224442485568;54;66
"1393";0,0153584764972765;54;67
"1393";0,00299135751979445;54;68
"1393";0,000459468651495106;54;69
"1393";0,0145168565202487;54;70
"1393";0,102389554899475;54;71
"1393";0,0734775889475377;54;72
"1393";0,0165299008029662;54;73
"1393";0,0196720228442929;54;74
"1393";0,0188192101410629;54;75
"1393";0,0438144253106185;54;76
"1393";0,0371986772676519;54;77
"1393";0,0213027991047093;54;78
"1393";0,0467909847754019;54;79
"1393";0,0237875369048464;54;80
"1393";0,0383633085186378;54;81
"1393";0,153193511235609;54;82
"1393";0,0829094849663247;54;83
"1393";0,0136761241763503;54;84
"1393";0,00678969098395;54;85
"1393";0,00193503739748292;54;86
"1393";0,000994278377678761;54;87
"1393";0,000457837980654885;54;88
"1393";0,00124945897814394;54;89
"1393";0,00206982823722234;54;90
"1393";0,0044041313260244;54;91
"1393";0,00784133007487728;54;92
"1393";0,00094790392782741;55;1
"1393";0,00130511501051749;55;2
"1393";0,00276859603863244;55;3
"1393";0,000451938227690973;55;4
"1393";0,0090671189014045;55;5
"1393";0,0512525111878444;55;6
"1393";0,0228854774942567;55;7
"1393";0,0257560958839457;55;8
"1393";0,0286825657328827;55;9
"1393";0,0200492468863848;55;10
"1393";0,0257896086999226;55;11
"1393";0,119849691201699;55;12
"1393";0,0347448432577008;55;13
"1393";0,00357512491062771;55;14
"1393";0,000746084718362457;55;15
"1393";0,000420256051940163;55;16
"1393";0,000477160302323161;55;17
"1393";0,00106232509246519;55;18
"1393";0,00448860644418298;55;19
"1393";0,0290885303356939;55;20
"1393";0,0227592246510683;55;21
"1393";0,00928350521637028;55;22
"1393";0,00622258747012087;55;23
"1393";0,00246614938466785;55;24
"1393";0,00304740403879663;55;25
"1393";0,00198349098598377;55;26
"1393";0,00453283862971265;55;27
"1393";0,00163714126631925;55;28
"1393";0,000209776262043136;55;29
"1393";0,0038197802553496;55;30
"1393";0,00211763084218165;55;31
"1393";0,000295452934306457;55;32
"1393";0,00475583637194116;55;33
"1393";0,0103747604135772;55;34
"1393";0,0246903029891445;55;35
"1393";0,00450614294634575;55;36
"1393";0,0012506016967661;55;37
"1393";0,000356923890015542;55;38
"1393";0,000112634656559734;55;39
"1393";0,000525915303353347;55;40
"1393";0,000989344790484236;55;41
"1393";0,00103988136121853;55;42
"1393";0,00309332930429135;55;43
"1393";0,00302874310365555;55;44
"1393";0,0278993705065134;55;45
"1393";0,116118526977345;55;46
