"STAID","Name","CoastDist","Model","k","AUC"
229,"BADAJO",163,"m1",18,0.9194171129655
230,"MADRID",303,"m1",18,0.927759294383466
231,"MALAGA",1.7,"m1",18,0.653618612078978
232,"NAVACE",290.6,"m1",18,0.915154359616187
233,"SALAMA",259.9,"m1",18,0.900891324807618
234,"SAN SE",0.9,"m1",18,0.85441416728857
236,"TORTOS",17.6,"m1",18,0.793587705352411
237,"VALENC",3.1,"m1",18,0.608161215022309
238,"ZARAGO",172.1,"m1",18,0.890552948377882
335,"FABRA ",8.3,"m1",18,0.794044542881752
336,"ALBACE",136,"m1",18,0.883642737630468
414,"BURGOS",118.2,"m1",18,0.929531637982704
416,"CIUDAD",248.3,"m1",18,0.930272897799472
420,"A CORU",1.4,"m1",18,0.798781142611684
421,"MURCIA",39,"m1",18,0.810869565217391
423,"SEVILL",60.6,"m1",18,0.897416244781057
424,"SORIA ",170.5,"m1",18,0.915983132572994
1393,"BILBAO",8.7,"m1",18,0.842049808429119
1394,"SANTIA",34.3,"m1",18,0.876073883161512
1396,"PONFER",107.8,"m1",18,0.909814400231097
1397,"LEON V",103.8,"m1",18,0.906533007926743
1398,"LOGRON",94.3,"m1",18,0.918808072009291
1399,"ZAMORA",222.6,"m1",18,0.906314234326824
1401,"REUS/A",6,"m1",18,0.713207307789901
2969,"BCN/AE",1.4,"m1",18,0.755997474747475
3905,"VITORI",54.7,"m1",18,0.92388306674021
3908,"ALMERI",1.1,"m1",18,0.775066162570888
3910,"GIJON ",2,"m1",18,0.59463706233988
3921,"CACERE",211.1,"m1",18,0.883505917159763
3922,"SANTAN",0.2,"m1",18,0.676959745762712
3924,"CASTEL",6,"m1",18,0.828526037798135
3937,"HUELVA",2.9,"m1",18,0.874432107794251
3943,"LLEIDA",71.1,"m1",18,0.936876716288481
3963,"MORON ",57.3,"m1",18,0.91776239702507
3970,"VALLAD",189.4,"m1",18,0.926579406631763
3971,"DAROCA",172,"m1",18,0.931198251586601
