"STAID","Name","CoastDist","Model","k","AUC"
229,"BADAJO",163,"m5.M4lower",64,0.93802821913421
230,"MADRID",303,"m5.M4lower",64,0.938351834001845
231,"MALAGA",1.7,"m5.M4lower",64,0.727134146341463
232,"NAVACE",290.6,"m5.M4lower",64,0.930459949937422
233,"SALAMA",259.9,"m5.M4lower",64,0.915872224990312
234,"SAN SE",0.9,"m5.M4lower",64,0.916698602230783
236,"TORTOS",17.6,"m5.M4lower",64,0.816459507635978
237,"VALENC",3.1,"m5.M4lower",64,0.716750879059185
238,"ZARAGO",172.1,"m5.M4lower",64,0.911460246208257
335,"FABRA ",8.3,"m5.M4lower",64,0.76906607604282
336,"ALBACE",136,"m5.M4lower",64,0.930172894590072
414,"BURGOS",118.2,"m5.M4lower",64,0.951879441733025
416,"CIUDAD",248.3,"m5.M4lower",64,0.949393896609452
420,"A CORU",1.4,"m5.M4lower",64,0.810244845360825
421,"MURCIA",39,"m5.M4lower",64,0.852759924385633
423,"SEVILL",60.6,"m5.M4lower",64,0.920309001795115
424,"SORIA ",170.5,"m5.M4lower",64,0.933989288827998
1393,"BILBAO",8.7,"m5.M4lower",64,0.899688697318008
1394,"SANTIA",34.3,"m5.M4lower",64,0.899001288659794
1396,"PONFER",107.8,"m5.M4lower",64,0.932851881273922
1397,"LEON V",103.8,"m5.M4lower",64,0.930817483208617
1398,"LOGRON",94.3,"m5.M4lower",64,0.939931765389082
1399,"ZAMORA",222.6,"m5.M4lower",64,0.927640030832477
1401,"REUS/A",6,"m5.M4lower",64,0.73903831514844
2969,"BCN/AE",1.4,"m5.M4lower",64,0.744535195707071
3905,"VITORI",54.7,"m5.M4lower",64,0.951568421614505
3908,"ALMERI",1.1,"m5.M4lower",64,0.714536862003781
3910,"GIJON ",2,"m5.M4lower",64,0.673680614859095
3921,"CACERE",211.1,"m5.M4lower",64,0.919109736417429
3922,"SANTAN",0.2,"m5.M4lower",64,0.813877118644068
3924,"CASTEL",6,"m5.M4lower",64,0.837542295947842
3937,"HUELVA",2.9,"m5.M4lower",64,0.877357445205328
3943,"LLEIDA",71.1,"m5.M4lower",64,0.942922869393458
3963,"MORON ",57.3,"m5.M4lower",64,0.929114104229312
3970,"VALLAD",189.4,"m5.M4lower",64,0.944677137870855
3971,"DAROCA",172,"m5.M4lower",64,0.950909931492456
