g.300.,g.500.,g.700.,g.300.45N.10W,g.500.45N.10W,g.700.45N.10W,g.300.35N.10W,g.500.35N.10W,g.700.35N.10W,g.300.45N.5E,g.500.45N.5E,g.700.45N.5E,g.300.35N.5E,g.500.35N.5E,g.700.35N.5E,g.300..lag1,g.500..lag1,g.700..lag1,g.300.45N.10W.lag1,g.500.45N.10W.lag1,g.700.45N.10W.lag1,g.300.35N.10W.lag1,g.500.35N.10W.lag1,g.700.35N.10W.lag1,g.300.45N.5E.lag1,g.500.45N.5E.lag1,g.700.45N.5E.lag1,g.300.35N.5E.lag1,g.500.35N.5E.lag1,g.700.35N.5E.lag1,"poly(g.300., 2)1","poly(g.300., 2)2","poly(g.500., 2)1","poly(g.500., 2)2","poly(g.700., 2)1","poly(g.700., 2)2","poly(g.300.45N.10W, 2)1","poly(g.300.45N.10W, 2)2","poly(g.500.45N.10W, 2)1","poly(g.500.45N.10W, 2)2","poly(g.700.45N.10W, 2)1","poly(g.700.45N.10W, 2)2","poly(g.300.35N.10W, 2)1","poly(g.300.35N.10W, 2)2","poly(g.500.35N.10W, 2)1","poly(g.500.35N.10W, 2)2","poly(g.700.35N.10W, 2)1","poly(g.700.35N.10W, 2)2","poly(g.300.45N.5E, 2)1","poly(g.300.45N.5E, 2)2","poly(g.500.45N.5E, 2)1","poly(g.500.45N.5E, 2)2","poly(g.700.45N.5E, 2)1","poly(g.700.45N.5E, 2)2","poly(g.300.35N.5E, 2)1","poly(g.300.35N.5E, 2)2","poly(g.500.35N.5E, 2)1","poly(g.500.35N.5E, 2)2","poly(g.700.35N.5E, 2)1","poly(g.700.35N.5E, 2)2",STAID
,,,,,,,,,,,,,,,,,,,,8.4154356536696,1.65785258558259,,-2.42395077814361,-4.32452084843696,,,,1.4372806518776,-2.47646901754438,,,,,3.70022134150959,0.828565902691155,-2.88043428910863,-0.0187768613813743,4.11916153608679,-1.99907925691896,-7.91330852471176,2.71970917640385,,,0.363781155389772,-2.87860678766347,-0.755316202179804,2.37092290610457,,,2.00082637783595,-1.27938118597349,1.9725489316088,-1.10983665985082,,,,,,,1393
,,,,,,,,,,,,,,,,,-1.8679831962403,-2.79912377844116,4.61445694975346,,,,,,,,,-2.32019394090222,,,,,,1.44466577719198,1.34094403396928,-0.799144537524157,-0.382940059266633,2.02385062260603,-0.626269373485216,-0.810990324487053,-1.56933922686848,3.1381775613572,-2.38111069316912,-3.29095467708016,1.58914073769818,,,,,0.296266424120368,-1.9194770885568,1.11245035005951,1.19212693654233,,,,,,,1394
,,,,,,,,,,,,,,,-2.32253122395292,2.65133773156213,,,2.83528898504614,-2.27578993579418,,2.41456096381266,-2.84233230239765,,2.20541503536979,-1.69641090014684,3.05419888448339,-2.20691646236183,,3.51150685335836,-4.02223384013985,,,1.65232455587408,1.37897478288288,-2.59227476216917,1.86400826118263,2.33006913425762,-0.886615262401552,-2.20936561599582,-0.651536514393331,,,-1.99548831537451,-0.581486189989097,,,,,,,,,2.17122165756916,-2.49801322041746,-1.7896603389915,2.54111050800378,,,1396
,,,,,,,,,,,,,,,,,2.43577717976611,-1.42762862016946,3.00162542022866,-2.79094778770839,,,-3.28046569098714,-3.17113308535403,4.06230564502977,-3.45539927679088,1.98508538340722,,,2.71767820514589,-3.32266008961897,-0.0957380986717548,0.689184624021214,-0.141338218155973,1.47949093085702,-2.69356315930099,2.7619061712296,2.39478526322693,-1.93846689235868,-1.31959317239841,-1.04181102387293,,,,,,,,,1.26821131130941,-0.161994427606719,-0.960324050716145,-0.800712713018186,,,,,,,1397
,,,,,,,,,,,,,,,-2.79412084855943,4.46332703138492,,,2.3009025371539,,,,,,,,,,,,,2.67600708005081,-2.48827639411535,-0.723474470759454,2.44313228225351,,,1.55764483203542,0.873850852879256,-4.01169310687494,-0.995354880038934,2.78343213401821,-1.83209978411357,-2.39202018515182,0.310660354909352,,,,,1.6893113055647,-1.30634802994213,,,,,2.80937370472062,-2.0729970656909,-2.05512391773899,1.61064788239254,1398
,,,,,,,,,,,,,,,,,2.21616157541521,,2.40133614051238,-1.6421382453618,,1.4424242018372,-2.01795921148659,-1.50836841182028,1.88056692352746,-1.72993600584098,2.71988772279752,,-1.90545611553993,0.06794598269329,-1.65429297521021,1.11935459590066,-0.0505097779193883,-0.989352810241829,2.0195968009174,0.525800587125083,1.5820273681727,,,0.191154641663714,-4.03086133669792,,,,,,,1.88407711122415,-1.29180762589678,,,,,,,,,,,1399
,,,,,,,,,,,,,,,,-1.51134825290476,1.84877061036946,,,-2.82087878997499,,2.07115791126611,-2.22523395010983,,5.18757465255254,,1.69908176029543,,,,,4.33717334156401,-3.50333698714111,-3.4037801469721,2.31690819106581,0.245364817631314,2.67854202074322,,,3.20542353331455,-0.267655138096276,,,-0.14393546855299,-1.73812991851973,,,,,3.22905222649341,-2.10032258251916,-3.78614184980662,3.21810275775786,,,-1.11110956383069,4.00735681541869,,,1401
,,,,,,,,,,,,,,,-1.59690848455362,,4.23349533411802,4.01473728098219,,-1.62019072948859,4.45768075276948,-3.89670780601257,,2.69294268101218,-1.88285715859749,,,,,1.6482203335276,-2.78022843725426,0.128894609437277,0.887248491179849,1.00981126972598,0.361719221971874,-1.05556050110881,2.22582104816742,2.18196857310692,-3.57454465186764,,,,,-0.655928130237785,-0.903049075377358,,,,,-1.52819500040908,-0.91815814029501,,,,,,,,,229
,,,,,,,,,,,,,,,,,6.65164119641659,,,,,1.63879705537724,-2.17966862170933,,,,1.63121435077359,,-1.92536066394993,0.0331528206762683,-1.01492958802318,1.15195474804243,-0.596901620337037,0.185621734199737,0.761129733363733,0.491143436426168,2.54078053486307,,,-1.63034659864855,-2.14351938629795,,,,,,,0.8581445141587,1.08639510089975,,,-1.55917993135747,-2.13601982845544,2.17564670235433,-2.25429974311155,,,,,230
,,,,,,,,,,,,,,,,2.05459497227881,2.81186061972926,,2.65950490014939,-4.59306744891685,,-1.67225859700455,,,4.51100362395249,,,-2.54256433824791,,3.84411077378926,-3.4229548857719,,,-3.32665043205896,-2.95210713008029,1.37397650730048,1.5524248431224,-1.56344371696219,-2.590829416981,,,,,,,3.93781971851208,0.985341429309323,,,,,-6.21331610935976,-3.39811703533077,-1.30788216994546,-0.316821594541015,2.41284256320852,0.904738433996458,,,231
