"STAID","STAAB","AUC"
229,"BADAJO",0.941515577460278
230,"MADRID",0
231,"MALAGA",0
232,"NAVACE",0
233,"SALAMA",0
234,"SAN SE",0
236,"TORTOS",0
237,"VALENC",0
238,"ZARAGO",0
335,"FABRA ",0
336,"ALBACE",0
414,"BURGOS",0
416,"CIUDAD",0
420,"A CORU",0
421,"MURCIA",0
423,"SEVILL",0
424,"SORIA ",0
1393,"BILBAO",0
1394,"SANTIA",0
1396,"PONFER",0
1397,"LEON V",0
1398,"LOGRON",0
1399,"ZAMORA",0
1401,"REUS/A",0
2969,"BCN/AE",0
3905,"VITORI",0
3908,"ALMERI",0
3910,"GIJON ",0
3921,"CACERE",0
3922,"SANTAN",0
3924,"CASTEL",0
3937,"HUELVA",0
3943,"LLEIDA",0
3963,"MORON ",0
3970,"VALLAD",0
3971,"DAROCA",0
