"STAID","g300..lag1","g500..lag1","g700..lag1","g300.45N.10W.lag1","g500.45N.10W.lag1","g700.45N.10W.lag1","g300.35N.10W.lag1","g500.35N.10W.lag1","g700.35N.10W.lag1","g300.45N.5E.lag1","g500.45N.5E.lag1","g700.45N.5E.lag1","g300.35N.5E.lag1","g500.35N.5E.lag1","g700.35N.5E.lag1","poly(g300., 2)1","poly(g300., 2)2","poly(g500., 2)1","poly(g500., 2)2","poly(g700., 2)1","poly(g700., 2)2","poly(g300.45N.10W, 2)1","poly(g300.45N.10W, 2)2","poly(g500.45N.10W, 2)1","poly(g500.45N.10W, 2)2","poly(g700.45N.10W, 2)1","poly(g700.45N.10W, 2)2","poly(g300.35N.10W, 2)1","poly(g300.35N.10W, 2)2","poly(g500.35N.10W, 2)1","poly(g500.35N.10W, 2)2","poly(g700.35N.10W, 2)1","poly(g700.35N.10W, 2)2","poly(g300.45N.5E, 2)1","poly(g300.45N.5E, 2)2","poly(g500.45N.5E, 2)1","poly(g500.45N.5E, 2)2","poly(g700.45N.5E, 2)1","poly(g700.45N.5E, 2)2","poly(g300.35N.5E, 2)1","poly(g300.35N.5E, 2)2","poly(g500.35N.5E, 2)1","poly(g500.35N.5E, 2)2","poly(g700.35N.5E, 2)1","poly(g700.35N.5E, 2)2"
229,NA,-3.0329391277438,4.33337747873545,2.1494703760029,NA,NA,-1.54840086433948,1.43961230575022,-2.26446944529479,NA,4.07792467647217,-4.69491132465858,-1.80294759583768,1.63541655159644,NA,NA,NA,NA,NA,6.09397977863442,4.88784232489505,NA,NA,NA,NA,-2.48041893571647,-1.51048184959425,-2.51377904218673,1.25861742898672,1.32078190649501,-2.01446094179553,NA,NA,NA,NA,-0.856352248094781,-1.80969409212005,NA,NA,-2.39611052772737,2.97291983146369,2.15219652189335,-1.25883549649616,-2.2976124014786,-0.770774754963637
230,NA,NA,4.88180799710756,3.30029555132873,NA,-2.86521605804105,-4.7307543406507,NA,NA,-2.26018114103093,3.71564953930293,-3.91179575873862,-3.14626471714086,NA,NA,0.518358004976232,-2.55365272268155,-0.445050680258111,2.28521471915427,3.02394272768113,1.06944539718201,NA,NA,NA,NA,-4.4238712473799,-4.72377389074579,-2.2656143765563,0.466121167490461,1.81094417889152,0.0673647942359416,-0.974033191050253,-1.27970563051508,NA,NA,NA,NA,-3.85887167146168,-1.28415380528683,-2.70676147451293,4.53474240538325,2.10922991701697,-3.80487072093497,NA,NA
231,-4.15924929226185,NA,5.5592231936794,NA,NA,-3.25250460166587,NA,NA,NA,NA,3.32640820613058,-2.31392696555248,NA,NA,-2.72693845073284,-2.62681447929492,0.162075871035345,2.84759250658095,-0.47771870775101,-3.29975226503913,-1.61348330502217,NA,NA,NA,NA,-3.01551868752154,-2.81639233955146,-2.75222889921962,1.54836560358184,NA,NA,6.31336819457115,0.722788796867491,NA,NA,1.79032804693717,-1.50929913535154,-3.7948552239899,1.15026201305219,-2.16598143350497,3.01688520793205,3.17702777364812,-1.54241915317802,NA,NA
232,-3.06880258171244,4.27826764742619,NA,NA,2.44787460695187,-2.30623115786091,-2.86616233293323,NA,NA,NA,1.94474388357031,-1.76709429535168,-2.74616718802183,2.68754085292814,-3.00851983725157,NA,NA,1.15561302759022,1.23001034591188,2.06724988555949,1.74006390333135,NA,NA,NA,NA,-4.06947772650742,-3.32735344688365,-3.01068711999673,0.804103042765707,2.69225214784231,-1.21272518270034,NA,NA,NA,NA,NA,NA,-2.58171261812491,-0.428205673957911,-2.51311488924946,5.16824666527105,2.40132993884653,-4.32075411373895,NA,NA
233,NA,NA,2.37584175101901,NA,1.8865102238312,NA,-2.88333170810909,NA,NA,NA,2.61270413039709,-2.58368680891765,-2.56005582005334,2.10793616624045,-1.86052075146482,NA,NA,NA,NA,5.51569304284172,5.03570225580936,NA,NA,2.14559838839487,1.33202681355173,-4.24503488680114,-3.33133895738572,-3.28139151368031,1.26379356682911,2.79304250508093,-2.29247312491161,NA,NA,-2.95374668414446,1.48415988681116,2.55736666719165,-2.00338608019485,-2.30179952915719,2.19160654704584,-1.20242309835107,3.87654505747805,1.36861741781333,-3.21357446263206,NA,NA
234,NA,-1.85562045742665,1.50916228814087,-2.01228132638894,3.20928913447661,NA,-2.31947790023067,2.16363540679065,-1.95998401897523,NA,-1.44660342411786,NA,-3.07186491662847,2.28008109529593,-1.78462810289805,NA,NA,NA,NA,4.15748964596866,0.864878544584341,-2.35731843611536,-0.692402319480969,3.22377192893055,0.105402547911192,-6.81743876778339,0.0909514559831316,-2.62917007875758,1.49390621332206,NA,NA,2.71629638656424,-1.72323927288726,NA,NA,1.61132342904013,-2.07511811559989,-0.59186971884032,2.36358112619673,0.573116166736525,3.55298052258565,NA,NA,0.878457086223109,-3.58669139666927
236,NA,-3.32387543711306,3.5401320657826,NA,NA,-4.05801606813663,-3.79134520030487,NA,NA,NA,4.83152468627505,NA,-2.08010355505272,1.85232914334886,NA,NA,NA,NA,NA,5.47028375419704,-1.15890639009052,NA,NA,NA,NA,2.20735735395242,2.32702808770353,NA,NA,NA,NA,2.34073415020845,-0.348477144598404,NA,NA,5.30298798064556,-3.94586174128632,-8.66969221453964,4.21850805075823,-0.559708447760354,3.33248148104241,0.0351413412334531,-2.24401693257272,NA,NA
237,NA,-1.99675020661083,2.69829221919197,-1.55122638977598,2.3237765382012,-3.12436762502189,-5.33093703169731,NA,NA,NA,3.66101738889153,NA,-2.65901062219371,NA,1.63342026301606,NA,NA,1.27905134845129,-1.82149132203531,NA,NA,NA,NA,-1.13085914757149,-2.91305882113705,-0.0375307491564357,3.90327545094007,NA,NA,-0.629717158742,3.04117667454814,3.59573423004992,-2.91186106546551,NA,NA,4.54264527895397,-3.84845642094151,-6.86569522528994,4.81438260837892,0.475941945721373,4.35990877129208,NA,NA,0.340828855746652,-2.9621879300397
238,-3.50194825084335,NA,4.92025650814684,NA,3.34852088323742,-3.27770588475657,-1.53216565878239,NA,NA,NA,3.11890738795112,-3.50229542804671,-2.16553708549647,NA,NA,NA,NA,NA,NA,3.91505617910529,0.779004720714657,-0.882597494986359,-1.71576302796166,NA,NA,-3.73862237660667,-0.998723820373256,-2.19814002760714,0.0390363203494285,NA,NA,3.21252940047043,0.0436306065043104,-2.21831803596307,1.52905997897833,2.77127826457665,-1.62382644749185,-3.08229345715069,2.06039386923604,-1.05502183383909,5.64883429658255,NA,NA,2.40423554841693,-3.67345271955539
335,1.63496226750156,-3.71864922567094,4.62330199906164,NA,NA,-3.99641666612843,NA,NA,NA,-2.7835683566937,3.98376109923417,-2.71016074533156,-2.37798578265742,1.82274910749118,NA,NA,NA,-0.471664980949003,-2.16019605171051,2.81360945547326,0.46223563269508,NA,NA,NA,NA,NA,NA,-3.33125782935075,0.830996871139223,NA,NA,2.37229867640117,-1.29646011734956,NA,NA,3.50228179713306,0.0852324782184733,-4.44791205314196,1.97763202756407,-0.722713644343748,4.66472580554817,NA,NA,0.421151808432634,-2.48399016871574
336,NA,NA,2.21030841622497,NA,3.07374622346725,-3.50629457718473,-3.36795486493121,NA,2.60808806829352,NA,2.8780068462008,-2.34984545989735,-2.66425105282133,1.47070104490563,NA,-2.1175292323183,-1.27656492964398,NA,NA,6.37884633397386,2.58642391538007,NA,NA,NA,NA,-4.40814088780258,-2.68477585464282,NA,NA,NA,NA,NA,NA,NA,NA,2.51900133815041,-0.854038237292365,-4.4197801903075,0.105266469027688,-2.72188155601878,3.95276725267033,2.31616315890842,-2.88827025442326,NA,NA
