"STAID","g300.","g500.","g700.","g300.45N.10W","g500.45N.10W","g700.45N.10W","g300.35N.10W","g500.35N.10W","g700.35N.10W","g300.45N.5E","g500.45N.5E","g700.45N.5E","g300.35N.5E","g500.35N.5E","g700.35N.5E","g300..lag1","g500..lag1","g700..lag1","g300.45N.10W.lag1","g500.45N.10W.lag1","g700.45N.10W.lag1","g300.35N.10W.lag1","g500.35N.10W.lag1","g700.35N.10W.lag1","g300.45N.5E.lag1","g500.45N.5E.lag1","g700.45N.5E.lag1","g300.35N.5E.lag1","g500.35N.5E.lag1","g700.35N.5E.lag1","poly(g300., 2)1","poly(g300., 2)2","poly(g500., 2)1","poly(g500., 2)2","poly(g700., 2)1","poly(g700., 2)2","poly(g300.45N.10W, 2)1","poly(g300.45N.10W, 2)2","poly(g500.45N.10W, 2)1","poly(g500.45N.10W, 2)2","poly(g700.45N.10W, 2)1","poly(g700.45N.10W, 2)2","poly(g300.35N.10W, 2)1","poly(g300.35N.10W, 2)2","poly(g500.35N.10W, 2)1","poly(g500.35N.10W, 2)2","poly(g700.35N.10W, 2)1","poly(g700.35N.10W, 2)2","poly(g300.45N.5E, 2)1","poly(g300.45N.5E, 2)2","poly(g500.45N.5E, 2)1","poly(g500.45N.5E, 2)2","poly(g700.45N.5E, 2)1","poly(g700.45N.5E, 2)2","poly(g300.35N.5E, 2)1","poly(g300.35N.5E, 2)2","poly(g500.35N.5E, 2)1","poly(g500.35N.5E, 2)2","poly(g700.35N.5E, 2)1","poly(g700.35N.5E, 2)2"
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.19402719152725,NA,3.60293114388352,4.63417092063259,NA,NA,NA,NA,NA,NA,4.04473305305629,-4.65169099354001,NA,NA,NA,NA,NA,-3.08186241985684,4.23589139404861,6.7099933237839,-1.7004133723261,NA,NA,NA,NA,-1.72127680501898,-2.18985481395691,NA,NA,-4.06591414250418,-1.96197799970375,NA,NA,-2.46979811896337,-0.897232374323516,NA,NA,NA,NA,-3.24748538985496,2.64269196765848,1.74444486302972,-2.26342530163394,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.49623832936605,NA,4.63822642004234,4.80730293323777,NA,-3.94298781741059,NA,-3.20165967389974,1.82238536744741,-2.77496073542783,4.19659038357387,-4.20343880053332,-2.54031652127209,NA,NA,-2.0872395308538,-0.617263865169627,1.26890050882021,1.54585582574821,2.68527503951811,-0.68998321217391,NA,NA,NA,NA,-4.10855078283754,-3.77282706335218,NA,NA,NA,NA,-0.870699362748515,-1.34703685362297,NA,NA,NA,NA,-3.23928435411876,-0.642677921922747,-2.02742595880628,3.3608256533616,1.09641401407327,-2.60037135816209,NA,NA
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.39510636652152,NA,5.91724986951499,NA,NA,-3.34720220234379,1.59538354247195,-2.30875955483782,NA,NA,3.94898414347617,-2.63101204495386,NA,-3.17681787196499,NA,-3.84394609984179,1.04299338862426,3.92787628889532,-1.08128461638818,-4.00428168609757,-1.29341239414832,NA,NA,NA,NA,-3.71936187949362,-2.32017655306255,NA,NA,-2.69148830276112,0.797689748780698,5.47016202848869,0.395478606011118,NA,NA,NA,NA,-5.90341102227234,-0.470014696194468,NA,NA,2.28537882030159,2.42270287479716,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.75360124788352,4.11070170148825,NA,NA,3.68738645390863,-3.43136235410548,NA,-4.30336432991446,2.9326765504694,NA,1.70759287198676,-1.93384731198587,-1.92160066307648,1.60059522585984,-2.06338078613902,-2.24382625962803,1.13813086971321,2.0181516626576,-0.028734638178979,1.48669765706209,-0.24990504126748,NA,NA,NA,NA,-3.99030927146577,-2.19464651149501,NA,NA,NA,NA,NA,NA,-1.97471940971684,-0.330110626138285,NA,NA,NA,NA,-2.38524335362841,4.11134948303809,1.9517414770712,-3.23076665248365,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62032314774223,3.10774107149383,NA,NA,NA,-1.54338368239662,NA,NA,2.23039155867698,-2.32749353582296,-3.57673691523984,NA,NA,-2.9471834657121,0.936078128148956,1.07717663663584,0.305783534635062,3.70123812493268,-1.02378946305321,NA,NA,2.38918368887858,0.414180453590243,-4.11281830032717,-1.83637379403266,-1.45933445008794,-1.07990225438229,NA,NA,NA,NA,-3.62420056953868,2.39893514506572,2.65103684625675,-2.37704091904603,-2.14197520418838,2.51799961887553,NA,NA,NA,NA,NA,NA
"234",NA,NA,4.97408208231901,-2.7134177884616,3.70202847394958,-7.63635724727522,NA,-3.0338357822038,2.8325629887524,NA,3.73185215487549,NA,2.07581188852778,-1.98419664187426,1.81673162641908,NA,-2.58222178740442,2.76664201331755,-2.45328058626581,3.84539134120357,NA,NA,NA,-1.67396743102176,-3.00769487742377,NA,NA,-2.62284686299497,1.86377190047098,-2.04651011688092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.84122099705948,5.44209233191471,NA,NA,-4.40777247631871,-3.9321578643836,NA,NA,NA,5.5409871097903,NA,NA,NA,NA,-1.92551269753382,3.40837910198977,3.81764778515435,-2.91240326906194,NA,NA,0.303771495943961,-3.11982730944269,0.739835008919554,4.02965601949566,NA,NA,NA,NA,NA,NA,2.30212745266885,-0.507513718720508,3.37379632688404,-3.82895154466047,NA,NA,-7.53826616126567,3.88263445873133,-2.88403934434836,1.84817779807597,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01341239186978,NA,2.42699640650539,-3.06661849058862,NA,-5.3457252482896,NA,-2.03808372129992,3.74373002503856,NA,NA,-3.65518858899028,2.79914771581563,-1.11198440275721,2.14114482956221,1.62903074652745,-2.76923770578496,NA,NA,-1.31378442199613,-2.99147011787968,NA,NA,-0.975349660086459,4.91970398549783,NA,NA,-1.41581937292628,2.30562329521185,4.48834805631908,-2.29004810956585,NA,NA,4.10009735200554,-3.19877602569808,-6.56835332487641,4.41077931206757,NA,NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7286036194188,NA,5.81455361493545,NA,3.66092535966297,-3.56130695655776,NA,NA,NA,NA,2.58099550152009,-3.09350840837038,NA,-3.23169872873392,NA,-1.71302077139648,-0.159237369444774,2.87214705263386,-0.0772504486155907,NA,NA,NA,NA,NA,NA,-6.55606833122528,-1.89387016289841,-2.34366009825289,-0.219632323517118,NA,NA,2.28091786390207,0.612047099220713,-2.876419793914,3.00961599609816,2.89486912811133,-2.54968332214969,-2.26692763842665,2.16145761113,-1.89194222117485,4.64898420779635,NA,NA,2.98027691961433,-2.22031039572479
"335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.51027334665657,4.49945539517493,1.43806242769724,NA,-3.00550983196493,NA,NA,NA,-2.95107225056473,4.27860513416187,-2.16266077514469,NA,NA,NA,NA,NA,0.232017702764933,-2.18801897586114,2.5845996305263,0.313031384745861,NA,NA,NA,NA,NA,NA,-2.5971701242594,0.0837785692066394,NA,NA,NA,NA,NA,NA,1.6774239742279,1.20686189445119,-2.87710460404616,0.579557354989501,-2.48786210564415,3.32867288176718,NA,NA,NA,NA
